Attention Deficit Hyperactivity Disorder,CPES,NCSR,NLAAS,NSAL
V06001: 1st restless/impatient difficulty before 7 yrs old,V06001,AD32B2,-,AD32B2
V06002: 1st restless/impatient difficulty before teen,V06002,AD32B3,-,AD32B3
V06003: 1st restless/impatient difficulty before 20s,V06003,AD32B4,-,AD32B4
V06004: Had restless/impatient difficulty during past 12 months,V06004,AD33,-,AD33
V06005: Age last time restless/impatient difficulty 6+ mths,V06005,AD33A,-,AD33A
V06006: Total # of years having impatience problems,V06006,AD34,-,AD34
V06007: Impatience ever cause problems with school,V06007,AD35A,-,AD35A
V06008: Impatience ever cause problems at home,V06008,AD35B,-,AD35B
V06009: Impatience ever cause problems at work,V06009,AD35C,-,AD35C
V06010: Impatience ever cause problems in relations/social life,V06010,AD35D,-,AD35D
V06011: INTERVIEWER CHECKPOINT,V06011,-,-,AD36
V06012: INTERVIEWER CHECKPOINT,V06012,-,-,AD38
V06013: Worst month in past year-impatience interf w/ home mgmt,V06013,AD39A,-,AD39A
V06014: Worst month in past year-impatience interf w/ ability to work,V06014,AD39B,-,AD39B
V06015: Worst month past year-impat interf w/ form/maint relation,V06015,AD39C,-,AD39C
V06016: Worst month in past yr-impatience interf w/ social life,V06016,AD39D,-,AD39D
V06017: INTERVIEWER CHECKPOINT,V06017,-,-,AD40
V06018: # days in past year unable to work due to impatience difficulty,V06018,AD41,-,AD41
V06019: INTERVIEWER CHECKPOINT,V06019,-,-,AD42
V06020: Talked to prof about impatience difficulties,V06020,-,-,AD43
V06021: Ever talked to professional about impatience difficulties,V06021,AD43_1,-,AD43A
V06022: Age 1st saw prof for impatience difficulties,V06022,AD43_1A,-,AD45
V06023: Received helpful/effective trmt for impatience difficulties,V06023,AD43_1B,-,-
V06024: Age 1st got helpful/effective trmt for impatience difficulties,V06024,AD43_1C,-,-
V06025: # profs talked to about impatience incl helpful trmt doc,V06025,AD43_1D,-,-
V06026: # of profs ever talked to about impatience difficulties,V06026,AD43_1E,-,-
V06027: Received prof trmt for impatience difficulties in past year,V06027,AD43_1F,-,-
V06028: Hospitalized overnight for impatience difficulties,V06028,AD43_1G,-,AD49
V06029: Age 1st hospitalized overnight for impatience difficulties,V06029,AD43_1H,-,AD49A
V06030: Tried to get help for impatience difficulties,V06030,-,-,AD43B
V06031: Reason didn't get help for impatience-1st mention,V06031,-,-,AD43C1
V06032: Reason didn't get help for impatience-2nd mention,V06032,-,-,AD43C2
V06033: Was this 1st time talked to prof for impatience difficulties,V06033,-,-,AD44
V06034: Saw psychiatrist for impatience difficulties,V06034,-,-,AD46A
V06035: Saw other mental health for impatience difficulties,V06035,-,-,AD46B
V06036: Saw family doctor for impatience difficulties,V06036,-,-,AD46C
V06037: Saw other medical doctor for impatience difficulties,V06037,-,-,AD46D
V06038: Saw other health prof for impatience difficulties,V06038,-,-,AD46E
V06039: Saw religious/spiritual advisor for impatience difficulties,V06039,-,-,AD46F
V06040: Saw other healer for impatience difficulties,V06040,-,-,AD46G
V06041: Professional was helpful,V06041,-,-,AD47
V06042: Treatment received for impatience-1st mention,V06042,-,-,AD481
V06043: Treatmentreceived for impatience-2nd mention,V06043,-,-,AD482
V06047: # times hospitalized for impatience,V06047,-,-,AD49B
V06048: Received help from family/friends/acquaint for impatience,V06048,-,-,AD50
V06049: Tried to get help from family/friends/acquaint for impatience,V06049,-,-,AD50A
V09192: Why not ADHD help from fam/friends-1st mention,V09192,-,-,AD50B1
V09193: Why not ADHD help from fam/friends-2nd mention,V09193,-,-,AD50B2
