Gambling,CPES,NCSR,NLAAS,NSAL
V05010: Year in life when gambled more frequently than in past year,V05010,GM30,-,-
V05011: Prefer to gamble alone or with friends,V05011,GM31,-,-
"V05012: If same payoff, would pick instant ticket or wait to hear ticket",V05012,GM32,-,-
V05013: Age last bet or gambled,V05013,GM33,-,-
V05014: In year gambled most-# days bet or gambled,V05014,GM34,-,-
V05015: In year gambled most-prefer to gamble alone or w/ friends,V05015,GM35,-,-
V05016: During gambl pick instant/wait to hear ticket for same payoff,V05016,GM36,-,-
V05017: Extent gambled for excitement,V05017,GM37A,-,-
V05018: Extent gambled to relax/have fun,V05018,GM37B,-,-
V05019: Extent gambled to win money,V05019,GM37C,-,-
V05020: Extent gambled to be with/make new friends,V05020,GM37D,-,-
V05021: Lost track of time when gambling,V05021,GM38A,-,-
V05022: In trance-like state when gambling,V05022,GM38B,-,-
V05023: Feel you are watching yourself gamble,V05023,GM38C,-,-
V05024: Talked to professional about problems with gambling,V05024,GM40,-,-
V05025: Age 1st talked toprofessional about gambling problems,V05025,GM40A,-,-
V05026: # of visits to professional about gambling probs in past year,V05026,GM40B,-,-
V05027: Went to self-help group for people w/ gambling problems,V05027,GM41,-,-
V05028: Age 1st went to self-help group for gambling problems,V05028,GM41A,-,-
V05029: # of self-help group phone calls/mtgs attended in past year,V05029,GM41B,-,-
V05030: Received helpful/effective trmt/cousel for gambling problem,V05030,GM43,-,-
V05031: Age 1st helpful treatment/counsel for gambling problem,V05031,GM43A,-,-
V05032: # of different profs seen for gambling incl helpful trmt doc,V05032,GM43B,-,-
V05033: # of different profs or self-help groups seen for gambling probs,V05033,GM43C,-,-
