Specific Phobias,CPES,NCSR,NLAAS,NSAL
V01438: Feared about closed spaces-trapped/unable to escape,V01438,SP9F,-,-
V01439: Fear about closed spaces-panic attack/no help,V01439,SP9G,-,-
V01440: Fear about closed spaces-physical illness/no help,V01440,SP9H,-,-
V01441: Fear about closed spaces-not able to breathe,V01441,SP9I,-,-
V01442: Time when always upset/anxious about high places,V01442,SP11A,-,-
V09430: How old was respondent the first time feared high places,V09430,SP11,-,-
V01443: Age 1st feared high places,V01443,SP11A1,-,-
"V01444: Before 1st started school, SP11A1",V01444,SP11A2,-,-
"V01445: Before a teenager, SP11A1",V01445,SP11A3,-,-
V01446: Avoid high places because of fear,V01446,SP11B,-,-
V09431: How old was respondent the first time avoided high places,V09431,SP11C,-,-
V01447: Age 1st avoided high places,V01447,SP11C1,-,-
"V01448: Before 1st started school, SP11C1",V01448,SP11C2,-,-
"V01449: Before a teenager, SP11C1",V01449,SP11C3,-,-
V01450: Fear about high places-get dizzy and fall,V01450,SP11F,-,-
V01451: Fear about high places-might jump,V01451,SP11G,-,-
V01452: Fear about high places-panic attack/no help,V01452,SP11H,-,-
V01453: Fear about high places-physical illness/no help,V01453,SP11I,-,-
V09432: How old first time feared flying,V09432,SP13,-,-
V01454: Time when always upset/anxious about flying,V01454,SP13A,-,-
V01455: Age 1st feared flying,V01455,SP13A1,-,-
"V01456: Before 1st started school, SP13A1",V01456,SP13A2,-,-
"V01457: Before a teenager, SP13A1",V01457,SP13A3,-,-
V01458: Avoid flying because of fear,V01458,SP13B,-,-
V09433: How old first time avoided flying,V09433,SP13C,-,-
V01459: Age 1st avoided flying,V01459,SP13C1,-,-
"V01460: Before 1st started school, SP13C2",V01460,SP13C2,-,-
"V01461: Before a teenager, SP13C2",V01461,SP13C3,-,-
V01462: Fear about flying-being high in the air,V01462,SP13F,-,-
V01463: Fear about flying-being in closed space,V01463,SP13G,-,-
V01464: Fear about flying-panic attack/no help,V01464,SP13H,-,-
V01465: Fear about flying-physical illness/no help,V01465,SP13I,-,-
V01466: Fear about flying-plane might crash,V01466,SP13J,-,-
V01467: Extent fear/avoidance interfered w/ work/social life/relations,V01467,SP16,-,-
V01468: Time felt emotion upset/disapp/worried because of fear/avoid,V01468,SP17,-,-
"V01469: During time of severe fear, have 2 or more problems",V01469,SP18,-,-
V01470: In most severe fear-heart pound/race,V01470,SP18A,-,-
V01471: In most severe fear-sweat,V01471,SP18B,-,-
V01472: In most severe fear-tremble,V01472,SP18C,-,-
V01473: In most severe fear-feel sick to stomach,V01473,SP18D,-,-
V01474: In most severe fear-dry mouth,V01474,SP18E,-,-
V01475: In most severe fear-chill/hot flush,V01475,SP18F,-,-
V01476: In most severe fear-numb/tingle,V01476,SP18G,-,-
V01477: In most severe fear-trouble breathing normally,V01477,SP18H,-,-
V01478: In most severe fear-feel like choking,V01478,SP18I,-,-
V01479: In most severe fear-pain/discomfort in chest,V01479,SP18J,-,-
V01480: In most severe fear-feel dizzy/faint,V01480,SP18K,-,-
V01481: In most severe fear-afraid might die,V01481,SP18L,-,-
V01482: In most severe fear-fear losing control/going crazy/pass out,V01482,SP18M,-,-
V01483: In most severe fear-like not really there,V01483,SP18N,-,-
V01484: In most severe fear-feel surrounding unrea/dreamlike,V01484,SP18O,-,-
V01485: Last time in months strongly feared or avoided things,V01485,SP19,-,-
V01486: Age last time strongly feared or avoided things,V01486,SP20,-,-
V01487: Severity of fear if faced today w/ thing that scares you most,V01487,SP21,-,-
V01488: Avoided feared things in past 12 months,V01488,SP22,-,-
V01489: Exent to which fear interfered with home management,V01489,SP23A,-,-
V01490: Exent to which fear interfered with ability to work,V01490,SP23B,-,-
V01491: Exent to which fear interfered with form/maint close relations,V01491,SP23C,-,-
V01492: Exent to which fear interfered with social life,V01492,SP23D,-,-
V01493: # days past yr unable carry out normal activities due to fear,V01493,SP25,-,-
V01494: Ever talk to medical doctor or professional about fear,V01494,SP27,-,-
V01495: Age 1st talk to medical doc/professional about fear,V01495,SP27A,-,-
V01496: Received helpful/effective treatment for fear,V01496,SP38,-,-
V01497: Age 1st received helpful/effective treatment for fear,V01497,SP38A,-,-
V01498: Total profs seen for fear incl helpful treatment doc,V01498,SP38B,-,-
V01499: # of professionals ever talked to about fear,V01499,SP38C,-,-
V01500: Received treatment for fear in past 12 mths,V01500,SP40,-,-
V01501: Hospitalized overnight for fear,V01501,SP41,-,-
V01502: # close relatives had strong fear of something,V01502,SP41_1,-,-
V01503: Age 1st hospitalized overnight for fear,V01503,SP41A,-,-
