Panic Disorder,CPES,NCSR,NLAAS,NSAL
V01345: Severity of emotional distress during attacks in last 12 mths,V01345,PD40,PD40,PD40
V01346: Upset by physical sensations remind of attack in last 12 mths,V01346,PD41,PD41,PD41
V01347: Severity of discomf from physical sensations in last 12 mths,V01347,PD41A,PD41A,PD41A
V01348: Avoid situations caused physical sensation in past 12 mths,V01348,PD42,PD42,PD42
V01349: Avoidance of situation interfered with work/social life/relations,V01349,PD43,PD43,PD43
V01350: Worst month in past year-attack interfered with home mgmt,V01350,PD44A,PD44A,PD44A
V01351: Worst month in past year-attack interfered with work,V01351,PD44B,PD44B,PD44B
V01352: Worst month in past year-attack interf w/ form/maint relations,V01352,PD44C,PD44C,PD44C
V01353: Worst month in past year-attack interfere with social life,V01353,PD44D,PD44D,PD44D
V01354: INTERVIEWER CHECKPOINT,V01354,-,PD45,PD45
V01355: # of days in yr unable to carry out activities due to attack,V01355,PD46,PD46,PD46
V01357: Ever talked to professional about panic attacks,V01357,PD50,PD50,-
V01356: Talked to professional about attacks in past 12 mths,V01356,-,-,PD50
V01358: Talked to professional about panic attacks:1st mention,V01358,-,PD50_101,-
V01361: Talked to professional about panic attacks:2nd mention,V01361,-,PD50_102,-
V01362: Talked to professional about panic attacks:3rd mention,V01362,-,PD50_103,-
V01363: Talked to professional about panic attacks:4th mention,V01363,-,PD50_104,-
V01364: Talked to professional about panic attacks:5th mention,V01364,-,PD50_105,-
V01365: Talked to professional about panic attacks:6th mention,V01365,-,PD50_106,-
V01366: Talked to professional about panic attacks:7th mention,V01366,-,PD50_107,-
V01367: Talked to professional about panic attacks:8th mention,V01367,-,PD50_108,-
V01368: Talked to professional about panic attacks:9th mention,V01368,-,PD50_109,-
V01359: Talked to professional about panic attacks:10th mention,V01359,-,PD50_110,-
V01370: Age 1st see professional for attacks,V01370,PD50A,PD50A,PD52
V01369: Ever talk to doc or professional about panic attacks,V01369,-,-,PD50A
V01371: Tried to get professional help for panic attacks,V01371,-,-,PD50B
V01372: Reason didn't get help for attack-1st mention,V01372,-,-,PD50C1
V01373: Reason didn't get help for attack-2nd mention,V01373,-,-,PD50C2
V01374: 1st time see professional for attacks,V01374,-,-,PD51
V01375: Saw psychiatrist for attacks,V01375,-,-,PD53A
V01376: Saw mental health professional for attacks,V01376,-,-,PD53B
V01377: Saw family doctor for attacks,V01377,-,-,PD53C
V01378: Saw medical doctor for attacks,V01378,-,-,PD53D
V01379: Saw other health professional for attacks,V01379,-,-,PD53E
V01380: Saw religious or spiritual advisor for attacks,V01380,-,-,PD53F
V01381: Saw other healer for attacks,V01381,-,-,PD53G
V01382: Professional(s) were helpful,V01382,-,-,PD54
V01383: Attack treatment received-1st mention,V01383,-,-,PD551
V01384: Attack treatment received-2nd mention,V01384,-,-,PD552
V01385: Attack treatment received-3rd mention,V01385,-,-,PD553
V01386: Attack treatment received-4th mention,V01386,-,-,PD554
V01387: # times hospitalized for attacks,V01387,-,-,PD56B
V01388: Received help from family/friends/acquaintances for attacks,V01388,-,-,PD57
V01389: Tried to get help from family/friends/acquaint for attacks,V01389,-,-,PD57A
V09207: Why not panic help from fam/friends-1st mention,V09207,-,-,PD57B1
V09208: Why not panic help from fam/friends-2nd mention,V09208,-,-,PD57B2
V01390: Received helpful/effective treatment for attack,V01390,PD62,PD62,-
V01391: Age 1st got helpful treatment for attack,V01391,PD62A,PD62A,-
V01392: Total profs seen for panic incl helpful treatment doc,V01392,PD62B,PD62B,-
V01393: # professionals ever talk to about panic attacks,V01393,PD62C,PD62C,-
V01394: Receive professional treatment for attacks in past 12 mths,V01394,PD64,PD64,-
V01395: Hospitalized overnight for attacks,V01395,PD65,PD65,PD56
V01397: Age 1st time hospitalized overnight for attacks,V01397,PD65A,PD65A,PD56A
V01396: # close relatives ever had panic attacks,V01396,PD65_1,PD65_1,-
