Childhood,CPES,NCSR,NLAAS,NSAL
V05867: Growing up-woman often got into physical fights,V05867,CH63,-,-
V05868: Growing up-woman involved in criminal activities,V05868,CH64,-,-
V05870: Growing up-woman ran around with men or desert family,V05870,CH66,-,-
V05871: Growing up- woman attempted to commit suicide,V05871,CH67,-,-
V05872: What man spent most time raising you,V05872,CH68,-,-
V05874: How emotionally close were you with him when growing up,V05874,CH69_1,-,-
V05875: How much love did man give you,V05875,CH69_2A,-,-
V05876: How much effort did your man put in your upbringing,V05876,CH69_2B,-,-
V05877: Freq he stopped you doing things other kids were doing,V05877,CH69_2C,-,-
V05878: Man was strict with rules for you as child,V05878,CH69_2D,-,-
V05879: Growing up-father/man had periods of sadness for 2+ wks,V05879,CH71,-,-
V05880: Frequency of father/man's depression during childhood,V05880,CH71A,-,-
V05881: During worst depression-man had other symptoms,V05881,CH72,-,-
V05882: Growing up-man received prof treatment for depression,V05882,CH74,-,-
V05883: Growing up-man was hospitalized for depression,V05883,CH74A,-,-
V05884: Growing up-depression interfered a lot with his life activities,V05884,CH75,-,-
V05885: Growing up-man constantly anx/nerv for 1+ mth,V05885,CH76,-,-
V05886: Man anx/nerv for 1+ mth in all/most/some/little childhood,V05886,CH76A,-,-
V05887: Worst nervous episode-man had other symptoms,V05887,CH77,-,-
V05888: Growing up-man got prof treatment for nervousness,V05888,CH79,-,-
V05889: Growing up-man ever hospitalized for nervousness,V05889,CH79A,-,-
V05890: Growing up-nervousness interfered a lot with life/activities,V05890,CH80,-,-
V05891: Growing up-man complained about anxiety attacks,V05891,CH81,-,-
V05892: Growing up-man compl about heart pound/short breath/ill,V05892,CH81A,-,-
V05893: Growing up-man had problem with alcohol or drugs,V05893,CH82,-,-
V05894: Man had alcohol/drug prob all/most/some/little of childhood,V05894,CH86,-,-
V05895: Growing up-man got prof treatment for substance problem,V05895,CH89,-,-
V05896: Growing-man hospitalized for substance use,V05896,CH89A,-,-
V05897: # years school he/father completed: Top/Bot Code,V05897,CH8A,-,-
V05899: Growing up-substance use interf lot/some/little/none w/ life,V05899,CH90,-,-
V05900: Man had trouble holding a job,V05900,CH91,-,-
V05901: Growing up-man lied a lot,V05901,CH92,-,-
V05902: Growing up-man often got into physical fights,V05902,CH93,-,-
V05903: Growing up-man involved in criminal activities,V05903,CH94,-,-
V05905: Growing up-man ran around with men or desert family,V05905,CH96,-,-
V05906: Ever your man attempt commit suicide,V05906,CH97,-,-
