30-Day Functioning,CPES,NCSR,NLAAS,NSAL
V04497: Amt of discrimination due to health probs in past 30 days,V04497,FD21,FD21,-
V04498: Amt health-related diffic interf w/ life of friends/fam in past mth,V04498,FD22,FD22,-
V04499: Rate health of otherwise healthy person with broken leg,V04499,FD23A,FD23A,-
V04500: Rate health of person with severe arthritis,V04500,FD23B,FD23B,-
V04501: Rate health of person with terminal cancer,V04501,FD23C,FD23C,-
V04502: Rate your own physical and mental health in past,V04502,FD23D,FD23D,-
V04503: INTERVIEWER CHECKPOINT (FD23d),V04503,-,FD24,-
V04504: # of months/years your health at this level,V04504,FD24_1A,FD24_1A,-
"V04505: Unit of time health at this level, FD24_1A",V04505,FD24_1B,FD24_1B,-
V04506: Willing to pay $100 for treatment to get score of 100,V04506,FD25,FD25,-
V04507: Willing to pay $500 for treatment to get score of 100,V04507,FD25A,FD25A,-
V04508: Willing to pay $50 for treatment to get score of 100,V04508,FD25B,FD25B,-
V04509: Largest amt willing to pay for treatment to get score of 100,V04509,FD25C,FD25C,-
V04510: Willing to take free treatment even if on bed rest for 3 days,V04510,FD26,FD26,-
V04511: Willing to take free treatment even if on bed rest for 7 days,V04511,FD26A,FD26A,-
V04512: Willing to take free treatment even if on bed rest for 1 day,V04512,FD26B,FD26B,-
V04513: Longest time willing to give up per month for free treatment,V04513,FD26C1,FD26C1,-
"V04514: Unit of time willing to give up for free treatment, FD26C1",V04514,FD26C2,FD26C2,-
V04515: Past mth-depressed,V04515,-,FD27A,-
V04516: Past mth-so depressed nothing could cheer you up,V04516,-,FD27B,NSD2A
V04519: Past mth-so restless couldn't sit still,V04519,-,FD27E,-
V04520: Past mth-tired for no good reason,V04520,-,FD27F,-
V04521: Past mth-everything an effort,V04521,-,FD27G,NSD2E
V04523: Past mth-nervous,V04523,-,FD27I,NSD2B
V04524: Past mth-so nervous nothing could calm you,V04524,-,FD27J,-
