Pharmacoepidemiology,CPES,NCSR,NLAAS,NSAL
V02804: Med15-method of dosage,V02804,PH19_05B,PH19_05B,PH19_05B
V02805: Med15-milligrams of dosage,V02805,PH19_06,PH19_06,PH19_06
V02809: Med16-# days taken in past month,V02809,PH20_01,-,-
V02810: Med16-# days taken in past year,V02810,PH20_02,-,-
V02812: Med16-Mth and day took for the first time in the past yr,V02812,PH20_03B,-,-
V02814: Med16-estimate of day took most recently,V02814,PH20_04B,-,-
V02815: Med16-amount taken on medicated days,V02815,PH20_05A,-,-
V02816: Med16-method of dosage,V02816,PH20_05B,-,-
V02817: Med16-milligrams of dosage,V02817,PH20_06,-,-
V02858: Med17-# days taken in past month,V02858,PH21_01,-,-
V02859: Med17-# days taken in past year,V02859,PH21_02,-,-
V02861: Med17-Day took 1st time in past yr,V02861,PH21_03B,-,-
V02863: Med17-estimate of day took most recently,V02863,PH21_04B,-,-
V02864: Med17-amount taken on medicated days,V02864,PH21_05A,-,-
V02865: Med17-method of dosage,V02865,PH21_05B,-,-
V02866: Med17-milligrams of dosage,V02866,PH21_06,-,-
V02724: Med1-problems took medicine for:1st mention,V02724,PH14_101,PH14_101,PH14_101
V02735: Med1-problems took medicine for:2nd mention,V02735,PH14_102,PH14_102,PH14_102
V02738: Med1-problems took medicine for:3rd mention,V02738,PH14_103,PH14_103,PH14_103
V02739: Med1-problems took medicine for:4th mention,V02739,PH14_104,PH14_104,PH14_104
V02742: Med1-problems took medicine for:5th mention,V02742,PH14_105,PH14_105,PH14_105
V02743: Med1-problems took medicine for:6th mention,V02743,PH14_106,PH14_106,PH14_106
V02745: Med1-problems took medicine for:7th mention,V02745,PH14_107,PH14_107,PH14_107
V02748: Med1-problems took medicine for:8th mention,V02748,PH14_108,PH14_108,PH14_108
V02749: Med1-problems took medicine for:9th mention,V02749,PH14_109,PH14_109,PH14_109
V02726: Med1-problems took medicine for:10th mention,V02726,PH14_110,PH14_110,PH14_110
V02727: Med1-problems took medicine for:11th mention,V02727,PH14_111,PH14_111,-
V02728: Med1-problems took medicine for:12th mention,V02728,PH14_112,PH14_112,-
V02729: Med1-problems took medicine for:13th mention,V02729,PH14_113,PH14_113,-
V02730: Med1-problems took medicine for:14th mention,V02730,PH14_114,PH14_114,-
V02731: Med1-problems took medicine for:15th mention,V02731,PH14_115,PH14_115,-
V02732: Med1-problems took medicine for:16th mention,V02732,PH14_116,PH14_116,-
V02751: Med1-overall effectiveness,V02751,PH14_2,PH14_2,PH14_2
V02752: Med1-why not effective as you expected,V02752,-,PH14_3,-
V02753: Med1-problems with med since started taking it,V02753,-,PH14_4,-
"V02754: Med1-problems so bad, had to stop taking med",V02754,-,PH14_5,-
V02755: Med1-took under supervision or on own,V02755,PH15,PH15,PH15
V02765: Med1-who prescribed,V02765,PH15_1,PH15_1,PH15_1
V02766: Med1-typical month-# days forget or take less,V02766,PH16,PH16,PH16
V02776: Med1-still taking medicine,V02776,PH17,PH17,PH17
V02786: INTERVIEWER CHECKPOINT,V02786,-,PH18,PH18
V02796: Med1-health professional tell you stop taking,V02796,PH19,PH19,PH19
V02806: Med1-health professional agree with stop taking,V02806,PH19A,PH19A,PH19A
V02808: Med1-stopped taking because better or other reason,V02808,PH20,PH20,PH20
V02818: Med16-took another med in its place,V02818,-,PH20_1,-
V02819: Med16-new med works better,V02819,-,PH20_2,-
V02821: Med1-reason stop taking:1st mention,V02821,PH20A1,PH20A_01,PH20A1
V02826: Med1-reason stop taking:2nd mention,V02826,PH20A2,PH20A_02,PH20A2
V02829: Med1-reason stop taking-3rd mention,V02829,PH20A3,PH20A_03,PH20A3
V02830: Med1-reason stop taking:4th mention,V02830,PH20A4,PH20A_04,-
V02832: Med1-reason stop taking:5th mention,V02832,PH20A5,PH20A_05,-
V02835: Med1-reason stop taking:6th mention,V02835,-,PH20A_06,-
V02820: INTERVIEWER CHECKPOINT,V02820,-,PH20A_1,PH20A_1
V02843: Med1-side effects made you stop:1st mention,V02843,PH20B01,PH20B_01,PH20B01
V02850: Med1-side effects made you stop:2nd mention,V02850,PH20B02,PH20B_02,PH20B02
V02851: Med1-side effects made you stop:3rd mention,V02851,PH20B03,PH20B_03,PH20B03
V02852: Med1-side effects made you stop:4th mention,V02852,PH20B04,PH20B_04,PH20B04
V02853: Med1-side effects made you stop:5th mention,V02853,PH20B05,PH20B_05,-
V02854: Med1-side effects made you stop:6th mention,V02854,PH20B06,PH20B_06,-
V02855: Med1-side effects made you stop:7th mention,V02855,PH20B07,PH20B_07,-
V02856: Med1-side effects made you stop:8th mention,V02856,PH20B08,PH20B_08,-
V02857: Med1-side effects made you stop:9th mention,V02857,PH20B09,-,-
V02844: Med1-side effects made you stop:10th mention,V02844,PH20B10,-,-
V02845: Med1-side effects made you stop:11th mention,V02845,PH20B11,-,-
V02846: Med1-side effects made you stop:12th mention,V02846,PH20B12,-,-
V02868: Med2-problems took medicine for:1st mention,V02868,PH21_101,PH21_101,PH21_101
V02878: Med2-problems took medicine for:2nd mention,V02878,PH21_102,PH21_102,PH21_102
V02880: Med2-problems took medicine for:3rd mention,V02880,PH21_103,PH21_103,PH21_103
V02882: Med2-problems took medicine for:4th mention,V02882,PH21_104,PH21_104,PH21_104
V02884: Med2-problems took medicine for:5th mention,V02884,PH21_105,PH21_105,PH21_105
V02886: Med2-problems took medicine for:6th mention,V02886,PH21_106,PH21_106,PH21_106
V02888: Med2-problems took medicine for:7th mention,V02888,PH21_107,PH21_107,PH21_107
V02891: Med2-problems took medicine for:8th mention,V02891,PH21_108,PH21_108,PH21_108
V02892: Med2-problems took medicine for:9th mention,V02892,PH21_109,PH21_109,PH21_109
V02869: Med2-problems took medicine for:10th mention,V02869,PH21_110,PH21_110,-
V02870: Med2-problems took medicine for:11th mention,V02870,PH21_111,PH21_111,-
V02871: Med2-problems took medicine for:12th mention,V02871,PH21_112,PH21_112,-
V02872: Med2-problems took medicine for:13th mention,V02872,PH21_113,PH21_113,-
V02873: Med2-problems took medicine for:14th mention,V02873,PH21_114,PH21_114,-
V02874: Med2-problems took medicine for:15th mention,V02874,PH21_115,-,-
V02875: Med2-problems took medicine for:16th mention,V02875,PH21_116,-,-
V02894: Med2-overall effectiveness,V02894,PH21_2,PH21_2,PH21_2
V02895: Med2-why not as effective as you expected,V02895,-,PH21_3,-
V02896: Med2-problems with med since started taking it,V02896,-,PH21_4,-
"V02897: Med2-problems so bad, had to stop taking med",V02897,-,PH21_5,-
V02898: Med2-took under supervision or on own,V02898,PH22,PH22,PH22
V02908: Med2-who prescribed,V02908,PH22_1,PH22_1,PH22_1
V02909: Med2-typical month-# days forget to take,V02909,PH23,PH23,PH23
V02919: Med2-still taking med,V02919,PH24,PH24,PH24
V02929: INTERVIEWER CHECKPOINT,V02929,-,PH25,PH25
V02930: Med2-health professional tell you to stop taking,V02930,PH26,PH26,PH26
V02931: Med2-health professional agree with stop taking,V02931,PH26A,PH26A,PH26A
V02932: Med2-stopped because no longer needed or other reason,V02932,PH27,PH27,PH27
V02933: Med2-take another med in its place,V02933,-,PH27_1,-
V02934: Med2-new med works better,V02934,-,PH27_2,-
V02936: Med2-reason stop taking:1st mention,V02936,PH27A1,PH27A_01,PH27A1
V02941: Med2-reason stop taking:2nd mention,V02941,PH27A2,PH27A_02,PH27A2
V02944: Med2-reason stop taking:3rd mention,V02944,PH27A3,PH27A_03,PH27A3
V02945: Med2-reason stop taking:4th mention,V02945,PH27A4,-,-
V02947: Med2-reason stop taking:5th mention,V02947,PH27A5,-,-
V02946: Med2-reason stop taking:4th mention,V02946,-,PH27A_04,-
V02935: INTERVIEWER CHECKPOINT,V02935,-,PH27A_1,PH27A_1
V02958: Med2-side effects made you stop:1st mention,V02958,PH27B01,PH27B_01,PH27B01
V02965: Med2-side effects made you stop:2nd mention,V02965,PH27B02,PH27B_02,PH27B02
V02966: Med2-side effects made you stop:3rd mention,V02966,PH27B03,-,PH27B03
V02967: Med2-side effects made you stop:4th mention,V02967,PH27B04,-,PH27B04
V02968: Med2-side effects made you stop:5th mention,V02968,PH27B05,-,PH27B05
V02974: Med3-problems took medicine for:1st mention,V02974,PH28_101,PH28_101,PH28_101
V02984: Med3-problems took medicine for:2nd mention,V02984,PH28_102,PH28_102,PH28_102
V02987: Med3-problems took medicine for:3rd mention,V02987,PH28_103,PH28_103,PH28_103
V02988: Med3-problems took medicine for:4th mention,V02988,PH28_104,PH28_104,PH28_104
V02990: Med3-problems took medicine for:5th mention,V02990,PH28_105,PH28_105,-
V02991: Med3-problems took medicine for:6th mention,V02991,PH28_106,PH28_106,-
V02992: Med3-problems took medicine for:7th mention,V02992,PH28_107,PH28_107,-
V02993: Med3-problems took medicine for:8th mention,V02993,PH28_108,PH28_108,-
V02994: Med3-problems took medicine for:9th mention,V02994,PH28_109,PH28_109,-
V02975: Med3-problems took medicine for:10th mention,V02975,PH28_110,PH28_110,-
V02995: Med3-overall effectiveness,V02995,PH28_2,PH28_2,PH28_2
V02996: Med3-why not as effective as you expected,V02996,-,PH28_3,-
V02997: Med3-problems with med since started taking it,V02997,-,PH28_4,-
"V02998: Med3-problems so bad, had to stop taking med",V02998,-,PH28_5,-
V02999: Med3-took under supervision or on own,V02999,PH29,PH29,PH29
V03000: Med3-who prescribed,V03000,PH29_1,PH29_1,PH29_1
V03001: Med3-typical month-# days forget to take,V03001,PH30,PH30,PH30
V03002: Med3-still taking med,V03002,PH31,PH31,PH31
V03003: INTERVIEWER CHECKPOINT,V03003,-,PH32,PH32
V03004: Med3-health professional tell you to stop taking,V03004,PH33,PH33,PH33
V03005: Med3-health professional agree with stop taking,V03005,PH33A,PH33A,PH33A
V03006: Med3-stopped because no longer needed or other reason,V03006,PH34,PH34,PH34
V03007: Med3-take another med in its place,V03007,-,PH34_1,-
V03008: Med3-new med works better,V03008,-,PH34_2,-
V03031: Med3-reason stop taking:1st mention,V03031,PH34A1,-,-
V03016: Med3-reason stop taking:2nd mention,V03016,PH34A2,PH34A_02,-
V03018: Med3-reason stop taking:3rd mention,V03018,PH34A3,-,-
V03020: Med3-reason stop taking:4th mention,V03020,PH34A4,-,-
V03022: Med3-reason stop taking:5th mention,V03022,PH34A5,-,-
V03011: Med3-reason stop taking:1st mention,V03011,-,PH34A_01,PH34A1
V03009: INTERVIEWER CHECKPOINT: (see PH20a),V03009,-,PH34A_1,PH34A_1
V03032: Med3-side effects made you stop:1st mention,V03032,PH34B01,-,PH34B01
V03039: Med3-side effects made you stop:2nd mention,V03039,PH34B02,-,-
V03040: Med3-side effects made you stop:3rd mention,V03040,PH34B03,-,-
V03041: Med3-side effects made you stop:4th mention,V03041,PH34B04,-,-
V03042: Med3-side effects made you stop:5th mention,V03042,PH34B05,-,-
V02610: # diff kinds of prescrip meds taken during past 7 days,V02610,PH1,PH1,PH1
V02611: # diff kinds of non-prescrip meds taken during past 7 days,V02611,PH2,PH2,PH2
V02625: How many per day,V02625,-,PH2A,-
V02624: # tablets of vitamins/mins/supp on average day,V02624,-,-,PH2A
V02626: Any non-prescript meds for mood/nerves/emotional probs,V02626,-,PH2B,-
V02627: Non-prescript meds for mood/nervs/emo under doc super,V02627,-,PH2C,-
V02807: Took sleeping pills/sed under doc super in past 12 mths,V02807,PH2_1A,PH2_1A,PH2_1A
V02614: Prescrip meds taken in last 12 mths-anti-depressants,V02614,PH2_1B,PH2_1B,PH2_1B
V02616: Prescrip meds taken in last 12 mths-tranquilizers,V02616,PH2_1C,PH2_1C,PH2_1C
V02617: Prescrip meds taken in last 12 mths-amphetamines/stims,V02617,PH2_1D,PH2_1D,PH2_1D
V02620: Prescrip meds taken in last 12 mths-anti-psychotic meds,V02620,PH2_1E,PH2_1E,PH2_1E
V02622: INTERVIEWER CHECKPOINT: (SEE *PH2.1a - *PH2.1f),V02622,-,PH2_2,-
V02621: INTERVIEWER CHECKPOINT,V02621,-,-,PH2_2
"V02623: Scrip meds for emotions, sleep, stress, etc in past 12 mths",V02623,PH2_3,PH2_3,PH2_3
"V02629: Meds taken in past 12 mths for emotion, etc:1st mention",V02629,-,PH4INTR1,-
"V02630: Meds taken in past 12 mths for emotion, etc:2nd mention",V02630,-,PH4INTR2,-
"V02631: Meds taken in past 12 mths for emotion, etc:3rd mention",V02631,-,PH4INTR3,-
V02641: INTERVIEWER CHECKPOINT,V02641,-,PH6,PH6
V02508: PRESS '1' TO VERIFY THE MEDICATION LISTING,V02508,-,ENDMEDS,-
