Employment,CPES,NCSR,NLAAS,NSAL
V05251: Quantity of money give to worker w/ score 8,V05251,EM44E,-,-
V05252: Quantity of money give to worker w/ score 10,V05252,EM44F,-,-
V05255: # years school spouse/partner completed: Top/Bot Code,V05255,SE2,-,-
V05256: Spouse/partner current employ status:1st mention: Recoded,V05256,SE401,-,-
V05260: Spouse/partner current employ status:2nd mention: Recoded,V05260,SE402,-,-
V05261: Spouse/partner current employ status:3rd mention: Recoded,V05261,SE403,-,-
V05268: Spouse/partner working for pay at present time,V05268,SE5,SE5,-
V05270: Length of time since spouse/partner worked,V05270,SE6A,-,-
"V05271: Unit of time since spouse/partner worked, SE6",V05271,SE6B,-,-
V05272: Kind work spouse/partner did last job: Recoded,V05272,SE7,SE7,H17D
V05273: Kind of place your spouse/partner worked:Rcde,V05273,SE8,SE8,H17E
V05274: Kind work spouse/partner does: Recoded,V05274,SE9,SE9,H17A
V05275: Kind of place your spouse/partner work: Recode,V05275,SE10,-,H17B
V05276: # hours spouse/partner works for pay in average week,V05276,SE11,SE11,-
V05279: Race of spouse/partner:1st mention,V05279,-,SE1301,-
V05290: Race of spouse/partner:2nd mention,V05290,-,SE1302,-
V05293: Race of spouse/partner:3rd mention,V05293,-,SE1303,-
V05070: Working for pay at present time,V05070,-,-,D2
V05071: Self-employed or work for someone,V05071,-,-,D3
V05075: Pay period-hour/week/month/year,V05075,-,-,D7A
V05076: Have skills/abilities for better job,V05076,-,-,D8
V05077: Extent to which satisfied with job,V05077,-,-,D9
V05078: Satisfaction if son/daughter had your job,V05078,-,-,D10
V05079: Black ppl get better/worse/same jobs as white at workplace,V05079,-,-,D11
V05080: Caribbeans get better/worse/same jobs as black at workplace,V05080,-,-,D11BCB
V05081: Caribbeans get better/worse/same jobs as whites,V05081,-,-,D11CB
V05082: Your job is one black people tend to get more than white,V05082,-,-,D12
V05083: Black ppl treated unfairly at your workplace,V05083,-,-,D13
V05084: Caribbeans treated unfairly at your workplace,V05084,-,-,D13CB
V05085: Race/gender of your supervisor,V05085,-,-,D14
V05086: Group with same work/supervisor at workplace,V05086,-,-,D15
V05087: Race of work group,V05087,-,-,D16
V05088: Blacks mostly Caribbeans or Americans,V05088,-,-,D16CB
V05089: Out of work or laid off any time during past 6 mths,V05089,-,-,D17
V05090: How long out of work in past 6 mths,V05090,-,-,D18
V05091: Unit of time laid off,V05091,-,-,D181
V05092: Reduced hours or pay cut any time during past 6 mths,V05092,-,-,D19
V05093: Extent worried about losing job in near future,V05093,-,-,D20
V05094: Ever worked for pay,V05094,-,-,D21
V05095: Self-employed or work for someone,V05095,-,-,D22
V05098: # hours worked on last job in average week,V05098,-,-,D25
"V05099: At job, had skills and abilities for better job",V05099,-,-,D26
V05100: Satisfaction with your job,V05100,-,-,D27
V05101: Satisfaction if son/daughter had your job,V05101,-,-,D28
V05102: Black ppl get better/worse/same job as white at workplace,V05102,-,-,D29
V05103: Carib ppl get better/worse/same job as black ppl at workplace,V05103,-,-,D29BCB
V05104: Carib ppl get better/worse job than white at workplace,V05104,-,-,D29CB
V05105: Your job is one black ppl tend to get more than white ppl,V05105,-,-,D30
V05106: Black ppl treated unfairly at your workplace,V05106,-,-,D31
V05107: Caribbeans treated unfairly at your workplace,V05107,-,-,D31CB
V05108: Race/gender of supervisor,V05108,-,-,D32
V05109: Was group of people w/ same work/supervisor at workplace,V05109,-,-,D33
V05110: Work group race make-up,V05110,-,-,D34
V05111: Blacks mostly Caribbean or Black American,V05111,-,-,D34CB
V05112: Worked for pay in last 6 mths,V05112,-,-,D35
V05113: Length of time out of work,V05113,-,-,D36
V05114: Unit of time out of work D36,V05114,-,-,D361
V05115: Presently looking for work,V05115,-,-,D37
V05116: Take job if offered,V05116,-,-,D38
V05117: Extent worried about not finding job in near future,V05117,-,-,D39
V05118: Lost hope finding decent job,V05118,-,-,D40
