Substance Use,CPES,NCSR,NLAAS,NSAL
V03428: Treatment received for drug/alcohol problem-4th mention,V03428,-,-,SU1004
V03429: # times hospitalized for drug/alcohol problem,V03429,-,-,SU101B
V03430: Received helpful/effective treatment for drug/alcohol problem,V03430,SU102,SU102,-
V03431: Age 1st got helpful/effective treatment for drug/alcohol prob,V03431,SU102A,SU102A,-
V03432: # of professionals ever talked to incl helpful treatment doctor,V03432,SU102B,SU102B,-
V03433: # of professionals ever talked to about drug/alc problem,V03433,SU102C,SU102C,-
V03434: Received prof treatment for use of drug/alcohol in past year,V03434,SU103,SU103,-
V03435: Hospitalized overnight for drug problems,V03435,SU119,SU119,SU101
V03436: Age 1st hospitalized overnight for drug problems,V03436,SU119_1,SU119_1,SU101A
V03437: Ever go to self-help group for drug/alc problems,V03437,SU119_2,SU119_2,SU119_2
V03438: Age 1st went to self-help group for drug/alc problems,V03438,SU119_3,SU119_3,SU119_3
V03439: # of self-help meetings attended for drug/alc in past year,V03439,SU119_4,SU119_4,SU119_4
V03440: # of relatives ever had drug/alcohol problems,V03440,SU119_5,SU119_5,SU119_5
V03441: Received help from fam/friends/acquaint for drug/alc prob,V03441,-,-,SU120
V03442: Tried to get help from fam/friends/acquaint for drug/alc prob,V03442,-,-,SU120A
V09215: Why not substance help from fam/friends-1st mention,V09215,-,-,SU120B1
V09216: Why not substance help from fam/friends-2nd mention,V09216,-,-,SU120B2
