Screening,CPES,NCSR,NLAAS,NSAL
V00755: Counselor for mental health/drug/alc/nerves/emot,V00755,-,SCS2F,-
V00756: Other ment health prof for ment health/drug/alc/nerve/emot,V00756,-,SCS2G,-
V00757: Nurse/OT/other health pro for ment health/drg/alc/nerve/emo,V00757,-,SCS2H,-
V00758: Relig or spiritual adv for mental health/drug/alc/nerves/emo,V00758,-,SCS2I,-
V00759: Other healer for mental health/drug/alc/nerves/emot,V00759,-,SCS2J,-
V00760: Age first time psychiatrist,V00760,-,SCS3A,-
V00770: When last saw psychiatrist,V00770,-,SCS4A,-
V00780: Times saw psychiatrist last 12 months,V00780,-,SCS5A,-
V00761: Age first time GP or family doc,V00761,-,SCS3B,-
V00771: When last saw GP or family doc,V00771,-,SCS4B,-
V00781: Times saw GP or family doc last 12 months,V00781,-,SCS5B,-
V00762: Age first time other medical doc,V00762,-,SCS3C,-
V00772: When last saw other med doc,V00772,-,SCS4C,-
V00782: Times saw other med doc last 12 months,V00782,-,SCS5C,-
V00763: Age first time psychologist,V00763,-,SCS3D,-
V00773: When last saw psychologist,V00773,-,SCS4D,-
V00783: Times saw psychologist last 12 months,V00783,-,SCS5D,-
V00764: Age first time social worker,V00764,-,SCS3E,-
V00774: When last saw social worker,V00774,-,SCS4E,-
V00784: Times saw social worker last 12 months,V00784,-,SCS5E,-
V00765: Age first time counselor,V00765,-,SCS3F,-
V00775: When last saw counselor,V00775,-,SCS4F,-
V00785: Times saw counselor last 12 months,V00785,-,SCS5F,-
V00766: Age first time other mental health prof,V00766,-,SCS3G,-
V00776: When last saw other mental health prof,V00776,-,SCS4G,-
V00786: Times saw other mental health prof last 12 months,V00786,-,SCS5G,-
"V00767: Age first time nurse, OT, other health prof",V00767,-,SCS3H,-
"V00777: When last saw nurse, OT, other health prof",V00777,-,SCS4H,-
"V00787: Times saw nurse, OT, other health last 12 months",V00787,-,SCS5H,-
V00768: Age first time relig or spiritual advisor,V00768,-,SCS3I,-
V00778: When last saw relig or spiritual advisor,V00778,-,SCS4I,-
V00788: Times saw relig or spiritual advisor last 12 months,V00788,-,SCS5I,-
V00769: Age first time other healer,V00769,-,SCS3J,-
V00779: When last saw other healer,V00779,-,SCS4J,-
V00789: Times saw other healer last 12 months,V00789,-,SCS5J,-
V00790: Internet support group for mental health/drug/alc/nerves/emo,V00790,-,SCS6A,-
V00791: Self-help group for mental health/drug/alc/nerves/emo,V00791,-,SCS6B,-
V00792: Hotline for mental health/drug/alc/nerves/emo,V00792,-,SCS6C,-
V00793: Psych counseling with professional for 30+ min,V00793,-,SCS6D,-
V00794: Type of professional:1st mention,V00794,-,SCS6G_01,-
V00797: Type of professional:2nd mention,V00797,-,SCS6G_02,-
V00798: Type of professional:3rd mention,V00798,-,SCS6G_03,-
V00799: Type of professional:4th mention,V00799,-,SCS6G_04,-
V00800: Type of professional:5th mention,V00800,-,SCS6G_05,-
V00801: Type of professional:6th mention,V00801,-,SCS6G_06,-
V00802: Type of professional:7th mention,V00802,-,SCS6G_07,-
V00803: Type of professional:8th mention,V00803,-,SCS6G_08,-
V00804: Type of professional:9th mention,V00804,-,SCS6G_09,-
V00795: Type of professional:10th mention,V00795,-,SCS6G_10,-
V00805: Age first used internet support group,V00805,-,SCS7A,-
V00809: When last use internet support group,V00809,-,SCS8A,-
V00813: Times used internet support group last 12 mths,V00813,-,SCS9A,-
V00806: Age first used self-help group,V00806,-,SCS7B,-
V00810: When last use self-help group,V00810,-,SCS8B,-
V00814: Times used self-help group last 12 mths,V00814,-,SCS9B,-
V00807: Age first used hot line,V00807,-,SCS7C,-
V00811: When last use hot line,V00811,-,SCS8C,-
V00815: Times used hotline last 12 mths,V00815,-,SCS9C,-
V00808: Age first used professional counsel 30+ min,V00808,-,SCS7D,-
V00812: When last use professional counsel 30+ min,V00812,-,SCS8D,-
V00816: Times used professional counsel last 12 mths 30+ min,V00816,-,SCS9D,-
V00817: Medicine for mental health/drug/alc/nerves/emo from prof,V00817,-,SCS10,-
V00818: Type professional gave meds:1st mention,V00818,-,SCS10A_1,-
V00819: Type professional gave meds:2nd mention,V00819,-,SCS10A_2,-
V00820: Type professional gave meds:3rd mention,V00820,-,SCS10A_3,-
V00821: Type professional gave meds:4th mention,V00821,-,SCS10A_4,-
V00822: Type professional gave meds:5th mention,V00822,-,SCS10A_5,-
V00826: Age first time given medicine for mental health,V00826,-,SCS11,-
