Generalized Anxiety Disorder,CPES,NCSR,NLAAS,NSAL
"V01837: Unit of time of last worried episode, G27A.4A",V01837,G27A_4A,G27A_4A,GA27A_4A
V01838: INTERVIEWER CHECKPOINT,V01838,-,G27A_5,GA27A_5
V01839: Worried episode ended or still ongoing,V01839,G27A_6,-,GA27A_6
V01840: Worried episode ended or still ongoing,V01840,-,G27A_6,-
V01841: Length of 1st worried episode in past year,V01841,G27A_7,G27A_7,GA27A_7
"V01842: Unit of time of 1st worried episode in past yr, G27A.7",V01842,G27A_7A,G27A_7A,GA27A_7A
V01843: INTERVIEWER CHECKPOINT,V01843,-,G27A_8,GA27A_8
V01845: Recent worried episode ended or ongoing,V01845,G27A_9,-,GA27A_9
V01844: Recent worried episode ended or ongoing,V01844,-,G27A_9,-
V01846: # of months in past year had worried episode,V01846,G27B,G27B,GA27B
V01847: Age last time had 1 of these worried episodes,V01847,G27C,G27C,GA27C
V01848: Lifetime # of worry/anxious/nervous episodes 1+ mth,V01848,G28,G28,GA28
V01849: INTERVIEWER CHECKPOINT,V01849,-,G29,GA29
V01850: Length of worried episode,V01850,G30,G30A,GA30A
V01851: Unit time episode last,V01851,G30A,G30,GA30
V01852: Length of longest worried episode,V01852,G31,G31A,GA31A
V01853: # episodes brought on by stressful experience,V01853,G31_1,G31_1,GA31_1
V01854: Unit time longest episode,V01854,G31A,G31,GA31
V01855: # years in lifetime having at least 1 episode,V01855,G32,G32,GA32
V01856: INTERVIEWER CHECKPOINT,V01856,-,G33,GA33
V01857: Longest continuous # of years w/ 1 + episodes per year,V01857,G34,G34,GA34
V01858: INTERVIEWER CHECKPOINT,V01858,-,G35,GA35
V01859: Worst worried mth +-often tense,V01859,G36A,G36A,GA36A
V01860: Worst worried mth +-often butterflies in stomach,V01860,G36B,G36B,GA36B
V01861: Worst worried mth +-often restless,V01861,G36C,G36C,GA36C
V01862: Worst worried mth +-often sudden panic,V01862,G36D,G36D,GA36D
V01863: Worst worried mth +-often worrying thoughts,V01863,G36E,G36E,GA36E
V01864: Worst worried mth +-often at ease and relaxed,V01864,G36F,G36F,GA36F
V01865: Worst worried mth +-often frighten/awful going to happen,V01865,G36G,G36G,GA36G
V01866: Worried by frightened feeling,V01866,G37,G37,GA37
V01867: Extent which severe worry interfered w/ home mgmt,V01867,G38A,G38A,GA38A
V01868: Extent which severe worry interfered w/ ability to work,V01868,G38B,G38B,GA38B
V01869: Extent which severe worry interf w/ form/maint relations,V01869,G38C,G38C,GA38C
V01870: Extent which severe worry interfered w/ social life,V01870,G38D,G38D,GA38D
V01872: INTERVIEWER CHECKPOINT,V01872,-,G39,-
V01871: INTERVIEWER CHECKPOINT,V01871,-,-,GA39
V01873: # of days past year unable to work/acts due worry/anxious,V01873,G40,G40,GA40
V01874: Saw medical doc or professional for worry/anxious/nervous,V01874,G44,G44,GA44A
V01875: Talked to professional about worry/anx/nerv:1st mention,V01875,-,G44_1_01,-
V01878: Talked to professional about worry/anx/nerv:2nd mention,V01878,-,G44_1_02,-
V01879: Talked to professional about worry/anx/nerv:3rd mention,V01879,-,G44_1_03,-
V01880: Talked to professional about worry/anx/nerv:4th mention,V01880,-,G44_1_04,-
V01881: Talked to professional about worry/anx/nerv:5th mention,V01881,-,G44_1_05,-
V01882: Talked to professional about worry/anx/nerv:6th mention,V01882,-,G44_1_06,-
V01883: Talked to professional about worry/anx/nerv:7th mention,V01883,-,G44_1_07,-
V01884: Talked to professional about worry/anx/nerv:8th mention,V01884,-,G44_1_08,-
V01885: Talked to professional about worry/anx/nerv:9th mention,V01885,-,G44_1_09,-
V01876: Talked to professional about worry/anx/nerv:10th mention,V01876,-,G44_1_10,-
V01877: Talked to professional about worry/anx/nerv:11th mention,V01877,-,G44_1_11,-
V01886: Age 1st talked to med professional about worry/anx/nerv,V01886,G44A,G44A,-
V01887: Received helpful/effective treatment for worry/anxious/nerv,V01887,G56,G56,-
V01888: Age 1st received helpful/effective trmt for worry/anx/nerv,V01888,G56A,G56A,-
V01889: # prof talked to for worry/anxiety incl helpful trmt doc,V01889,G56B,G56B,-
V01890: # professional talked to about worry/anxious/nervous,V01890,G56C,G56C,-
V01891: Received professional treatment for worry in past 12 mths,V01891,G58,G58,-
V01892: Hospitalized overnight for worry/anxious/nervous,V01892,G59,G59,GA50
V01893: # close relatives were worried/anxious people,V01893,G59_1,G59_1,-
V01894: Age 1st hospitalized overnight for worry/anxious/nervous,V01894,G59A,G59A,GA50A
V01895: Talked to med doc or prof about worry in past 12 mths,V01895,-,-,GA44
V01896: Tried to get professional help for worry,V01896,-,-,GA44B
V01897: Reason didn't get help for worry-1st mention,V01897,-,-,GA44C1
V01898: Reason didn't get help for worry-2nd mention,V01898,-,-,GA44C2
V01899: 1st time seen professional for worry,V01899,-,-,GA45
V01900: Age 1st seen professional for worry,V01900,-,-,GA46
V01901: Talked to psychiatrist for worry,V01901,-,-,GA47A
V01902: Talked to other mental health professional for worry,V01902,-,-,GA47B
V01903: Talked to family doctor for worry,V01903,-,-,GA47C
V01904: Talked to other medical doctor for worry,V01904,-,-,GA47D
V01905: Talked to other hlth professional for worry,V01905,-,-,GA47E
V01906: Talked to religious or spiritual advisor for worry,V01906,-,-,GA47F
V01907: Talked to healer for worry,V01907,-,-,GA47G
V01908: Professional was helpful,V01908,-,-,GA48
V01909: Treatment received for worry-1st mention,V01909,-,-,GA491
V01910: Treatment received for worry-2nd mention,V01910,-,-,GA492
V01911: Treatment received for worry-3rd mention,V01911,-,-,GA493
V01912: Treatment received for worry-4th mention,V01912,-,-,GA494
V01913: # times hospitalized for worry,V01913,-,-,GA50B
V01914: Received help from family/friends/acquaint for worry,V01914,-,-,GA51
V01915: Tried to get help from family/friends/acquaint for worry,V01915,-,-,GA51A
V09200: Why not GAD help from fam/friends-1st mention,V09200,-,-,GA51B1
V09201: Why not GAD help from fam/friends-2nd mention,V09201,-,-,GA51B2
V01916: INTERVIEWER CHECKPOINT,V01916,-,AGNTRSC,-
V01917: INTERVIEWER CHECKPOINT,V01917,-,-,AGNTRSC
