Mania,CPES,NCSR,NLAAS,NSAL
V01080: Exact age of 1st excited/grouchy episode + behav changes,V01080,M18,-,M18
V01081: Age of 1st excited/grouchy episode + behav changes,V01081,M18A,-,M18A
V01082: Estimate age 1st excited/grouchy episode + behav changes,V01082,M18B,-,M18B
V01083: Estimate age 1st excited/grouchy episode + behav changes,V01083,M18B1,-,M18B1
V01084: 1st excited/grouchy + behav episode before started school,V01084,M18B2,-,M18B2
V01085: 1st excited/grouchy + behav episode before teenager,V01085,M18B3,-,M18B3
V01086: 1st excited/grouchy + behav episode due to stress or sudden,V01086,M18C,-,M18C
V01087: Length 1st excited/grouchy + behav episode,V01087,M18D1,-,M18D
V01088: Unit time 1st excited/grouchy + behav episode,V01088,M18D2,-,M18D1
V01089: Excited/grouchy + behav episode anytime in the past 12 mths,V01089,M19,-,M19
V01090: How recent last excited/grouchy + behav episode,V01090,M19A,-,M19A
V01091: # excited/grouchy + behav episodes in past year,V01091,M19B,-,M19B
V01092: Weeks in past yr had excited/grouchy + behav episodes,V01092,M19C,-,M19C
V01093: Age last time excited/grouchy + behav episodes,V01093,M19D,-,M19D
V01094: # excited/grouchy + behav episodes lasted 1 week or more,V01094,M20,-,M20
V01095: # excited/grouchy + behav episodes lasted less than week,V01095,M21,-,M21
V01097: # of episodes brought by on stress,V01097,M21_1,-,-
V01098: INTERVIEWER CHECKPOINT,V01098,-,-,M21A
V01096: # excited/grouchy + behav eps 1 week-1 mth due to stress,V01096,-,-,M21_1
V01099: Length longest excited/grouchy + behav episode ever had,V01099,M22A,-,M22
V01100: Unit of time length longest excited/grouchy + behav ep M22A,V01100,M22B,-,M22B
V01101: # of different years with excited/grouchy + behav episode,V01101,M23,-,M23
V01102: INTERVIEWER CHECKPOINT,V01102,-,-,M26
V01103: Severe month past year-exc/grouch ep interfered home mgmt,V01103,M27A,-,M27A
V01104: Severe month in past year-exc/grouch ep interfered w/ work,V01104,M27B,-,M27B
V01105: Severe mth in past year-ep interf with form/maint close friends,V01105,M27C,-,M27C
V01106: Severe mth in past yr-exc/grouch ep interfered w/ social life,V01106,M27D,-,M27D
V01107: INTERVIEWER CHECKPOINT,V01107,-,-,M28
V01108: # days in year unable carry out normal acts due to episodes,V01108,M29,-,M29
V01111: Worst episode in past year-mood,V01111,M30A,-,-
V01112: Worst episode in past year-physical arousel,V01112,M30B,-,-
V01113: Worst episode in past year-sexual interest,V01113,M30C,-,-
V01114: Worst episode in past year-quantity of sleep,V01114,M30D,-,-
V01115: Worst episode in past year-irritable,V01115,M30E,-,-
V01116: Worst episode in past year-talkative,V01116,M30F,-,-
V01117: Worst episode in past year-racing thoughts/disorg thinking,V01117,M30G,-,-
V01118: Worst episode in past year-unrealistic thinking,V01118,M30H,-,-
V01119: Worst episode in past year-disruptive behavior,V01119,M30I,-,-
V01120: Worst episode in past year-appearance,V01120,M30J,-,-
V01121: Worst episode in past year-you thought you had problem,V01121,M30K,-,-
V01123: Ever talk to mdical doctor professional for epis,V01123,M33,-,-
V01122: Saw professional about sadness in past year,V01122,-,-,M33
V01124: Age 1st time talk to professional,V01124,M33A,-,-
V01125: Ever see dr/other pro for mania,V01125,-,-,M33A
V01126: Tried get professional help for mania,V01126,-,-,M33B
V01127: Reasons for not getting prof help for mania-1st mention,V01127,-,-,M33C1
V01128: Reasons for not getting prof help for mania-2nd mention,V01128,-,-,M33C2
V01129: 1st time saw professional for mania,V01129,-,-,M34
V01130: Age 1st saw professional about mania,V01130,-,-,M35
V01131: Saw psychiatrist for mania,V01131,-,-,M36A
V01132: Saw other mental health professional for mania,V01132,-,-,M36B
V01133: Saw family doctor about mania,V01133,-,-,M36C
V01134: Saw other medical doctor about mania,V01134,-,-,M36D
V01135: Saw other health prof about mania,V01135,-,-,M36E
V01136: Saw relig or spiritual advisor about mania,V01136,-,-,M36F
V01137: Saw other healer about mania,V01137,-,-,M36G
V01138: Professional(s) were helpful,V01138,-,-,M37
V01139: Treatment received-1st mention,V01139,-,-,M381
V01140: Treatment received-2nd mention,V01140,-,-,M382
V01141: Treatment received-3rd mention,V01141,-,-,M383
V01142: Treatment received-4th mention,V01142,-,-,M384
V01144: Hospitalized overnight for mania,V01144,-,-,M39
V01145: Age 1st time hospitalized for mania,V01145,-,-,M39A
V01146: # times hospitalized for mania,V01146,-,-,M39B
V01147: Received help from fam/friends/acquaint for mania,V01147,-,-,M40
V01148: Tried to get help for mania from family/friends/acquaint,V01148,-,-,M40A
V09203: Why not mania help from fam/friends-1st mention,V09203,-,-,M40B1
V09204: Why not mania help from fam/friends-2nd mention,V09204,-,-,M40B2
V01149: Received helpful/effective treatment,V01149,M45,-,-
V01150: Age 1st time received helpful/effective treatment for episodes,V01150,M45A,-,-
V01151: Total profs seen for excited/grouchy eps incl helful trmt doc,V01151,M45B,-,-
V01152: # professionals ever seen about episodes,V01152,M45C,-,-
V01153: Received professional treatment any time past 12 mths,V01153,M47,-,-
V01154: Hospitalized overnight for episode,V01154,M48,-,-
V01156: Age 1st time hospitalized overnight for episode,V01156,M48A,-,-
V01155: # close relatives that have excited/grouchy episodes,V01155,M48_1,-,-
