Psychological Resources and Health,CPES,NCSR,NLAAS,NSAL
V06695: Prof said you had heart trouble,V06695,-,-,C10M
V06696: Extent heart trouble interferes w/ daily tasks,V06696,-,-,C11M
V06699: Prof said you had glaucoma,V06699,-,-,C10O
V06700: Extent glaucoma interferes w/ daily tasks,V06700,-,-,C11O
V06703: Prof said you had fertility probs,V06703,-,-,C10Q
V06704: Extent fertility problem interferes w/ daily tasks,V06704,-,-,C11Q
V06705: Prof said you had osteoporosis,V06705,-,-,C10R
V06706: Extent osteoporosis interferes w/ daily tasks,V06706,-,-,C11R
V06707: Prof said you had fibroid tumors,V06707,-,-,C10S
V06708: Extent fibroid tumor interferes w/ daily tasks,V06708,-,-,C11S
V06709: Prof said you had anemia,V06709,-,-,C10T
V06710: Extent anemia interferes w/ daily tasks,V06710,-,-,C11T
V06711: Prof said you had eating disorder,V06711,-,-,C10U
V06712: Extent eating disorder interferes w/ daily tasks,V06712,-,-,C11U
V06713: Prof said gone thru menopause,V06713,-,-,C10V
V06714: Extent menopause interferes w/ daily tasks,V06714,-,-,C11V
V06715: Past yr-bad headaches,V06715,-,-,C12A
V06716: Extent headaches interfere w/ daily tasks,V06716,-,-,C13A
V06717: Past yr-hearing probs,V06717,-,-,C12B
V06718: Extent hearing probs interfere w/ daily tasks,V06718,-,-,C13B
V06719: Past yr-vision probs,V06719,-,-,C12C
V06720: Extent vision problems interfere w/ daily tasks,V06720,-,-,C13C
V06721: Past yr-allergies/infections,V06721,-,-,C12D
V06722: Extent allergies interfere w/ daily tasks,V06722,-,-,C13D
V06723: Past yr-back problems,V06723,-,-,C12E
V06724: Extent back probs interfere w/ daily tasks,V06724,-,-,C13E
V06725: How often garden/yardwork,V06725,-,-,C14A
V06726: How often sports/exercise,V06726,-,-,C14B
V06727: How often take walks,V06727,-,-,C14C
V06730: Currently trying to lose weight,V06730,-,-,C19
V06731: How you feel about your weight,V06731,-,-,C20
V06732: Place/person usually go to for medical help,V06732,-,-,C21
V06733: Where/who go to for medical help,V06733,-,-,C21A
V06734: Ever gone to faith healer,V06734,-,-,C22A
V06735: Ever gone to person who heals w/ roots/herbs/reads palms,V06735,-,-,C22B
V06736: Ever saw astrologer/psychic,V06736,-,-,C22C
V06737: Currently covered by govt health ins programs,V06737,-,-,C23
V06738: Govt ins covers mental health/emotion/nerve problems,V06738,-,-,C23B
V06739: Covered by employer health insurance,V06739,-,-,C24
V06740: # of employer health plans covered by,V06740,-,-,C24A
V06741: Employer ins covers mental health/emotion/nerve probs,V06741,-,-,C24B
V06742: Covered by family's employer health ins,V06742,-,-,C24C
V06743: Family insurance covers mental health/emotion/nerve probs,V06743,-,-,C24D
V06744: Has purchased health insurance directly,V06744,-,-,C25
V06745: $/visit paid out-of-pocket to see doctor,V06745,-,-,C26
V06749: $ amount reimbursed by health insurance,V06749,-,-,C26CS
V06746: INTERVIEWER CHECKPOINT,V06746,-,-,C26_IWR
V06747: Reimbursement by health insurance,V06747,-,-,C26A
V06748: $ amount reimbursed by health insurance,V06748,-,-,C26ACS
V06750: Past mth-health problems,V06750,-,-,C27A
V06751: Amount health problems upset you,V06751,-,-,C28A
V06752: Past mth-money problems,V06752,-,-,C27B
V06753: Amount money problems upset you,V06753,-,-,C28B
V06754: Past mth-job problems,V06754,-,-,C27C
V06755: Amount job problems upset you,V06755,-,-,C28C
V06757: Are you a parent,V06757,-,-,C27D1
V06756: Past mth-problems w/ children,V06756,-,-,C27D
V06758: Amount being a parent upset you,V06758,-,-,C28D
V06759: Past mth-family/marriage problems,V06759,-,-,C27E
V06760: Amount fam/marriage problems upset you,V06760,-,-,C28E
V06761: Past mth-you/family crime victim,V06761,-,-,C27F
V06762: Amount victimization upset you,V06762,-,-,C28F
V06763: Past mth-police problems,V06763,-,-,C27G
V06764: Amount police problems upset you,V06764,-,-,C28G
V06765: Past mth-love life problems,V06765,-,-,C27H
V06766: Amount love problems upset you,V06766,-,-,C28H
V06767: Past mth-you/family race problems,V06767,-,-,C27I
V06768: Amount race problems upset you,V06768,-,-,C28I
V06769: Past mth-gambling problems,V06769,-,-,C27J
V06770: Amount gambling problems upset you,V06770,-,-,C28J
V06811: Your health problems interfere w/ fam/friends in past 30 days,V06811,-,-,C39
